=== Job Info ===
host      : paganini
jobid     : 1188408
scenario  : 3
early_rate: 1.0
v2v_rate  : 1.0
run_id    : 4
config    : scenarios/JIP/configs/config_scenario_3.toml
start     : Sun Jul 12 22:32:51 JST 2026
Step #0.00 (0ms ?*RT. ?UPS, TraCI: 474ms, vehicles TOT 1 ACT 1 BUF 0)                     
Step #100.00 (1ms ~= 1000.00*RT, ~26000.00UPS, TraCI: 31ms, vehicles TOT 26 ACT 26 BUF 0) 
Step #200.00 (1ms ~= 1000.00*RT, ~51000.00UPS, TraCI: 62ms, vehicles TOT 51 ACT 51 BUF 0) 
Step #300.00 (1ms ~= 1000.00*RT, ~77000.00UPS, TraCI: 71ms, vehicles TOT 77 ACT 77 BUF 0) 
Step #400.00 (1ms ~= 1000.00*RT, ~104000.00UPS, TraCI: 1543ms, vehicles TOT 104 ACT 104 BU
Step #500.00 (1ms ~= 1000.00*RT, ~131000.00UPS, TraCI: 3038ms, vehicles TOT 131 ACT 131 BU
Step #600.00 (1ms ~= 1000.00*RT, ~158000.00UPS, TraCI: 3375ms, vehicles TOT 158 ACT 158 BU
Step #700.00 (1ms ~= 1000.00*RT, ~186000.00UPS, TraCI: 3704ms, vehicles TOT 186 ACT 186 BU
Step #800.00 (1ms ~= 1000.00*RT, ~212000.00UPS, TraCI: 5955ms, vehicles TOT 221 ACT 212 BU
Step #900.00 (1ms ~= 1000.00*RT, ~234000.00UPS, TraCI: 6502ms, vehicles TOT 256 ACT 234 BU
Step #1000.00 (1ms ~= 1000.00*RT, ~267000.00UPS, TraCI: 6399ms, vehicles TOT 297 ACT 267 B
Step #1100.00 (1ms ~= 1000.00*RT, ~290000.00UPS, TraCI: 6232ms, vehicles TOT 341 ACT 290 B
Step #1200.00 (2ms ~= 500.00*RT, ~155500.00UPS, TraCI: 7121ms, vehicles TOT 379 ACT 311 BU
Step #1300.00 (2ms ~= 500.00*RT, ~170500.00UPS, TraCI: 7759ms, vehicles TOT 417 ACT 341 BU
Step #1400.00 (2ms ~= 500.00*RT, ~186000.00UPS, TraCI: 7721ms, vehicles TOT 458 ACT 372 BU
Step #1500.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 8061ms, vehicles TOT 497 ACT 400 B
Step #1600.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 8041ms, vehicles TOT 504 ACT 400 B
Step #1700.00 (2ms ~= 500.00*RT, ~200000.00UPS, TraCI: 6474ms, vehicles TOT 507 ACT 400 BU
Step #1800.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 5926ms, vehicles TOT 507 ACT 400 B
Step #1900.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 5134ms, vehicles TOT 507 ACT 400 B
Step #2000.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 4164ms, vehicles TOT 507 ACT 400 B
Step #2100.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 3430ms, vehicles TOT 507 ACT 400 B
Step #2200.00 (0ms ?*RT. ?UPS, TraCI: 2426ms, vehicles TOT 507 ACT 400 BUF 0)             
Step #2300.00 (1ms ~= 1000.00*RT, ~400000.00UPS, TraCI: 2079ms, vehicles TOT 507 ACT 400 B
Step #2400.00 (0ms ?*RT. ?UPS, TraCI: 1356ms, vehicles TOT 507 ACT 400 BUF 0)             
Step #2500.00 (0ms ?*RT. ?UPS, TraCI: 608ms, vehicles TOT 507 ACT 400 BUF 0)              
Step #2600.00 (0ms ?*RT. ?UPS, TraCI: 123ms, vehicles TOT 507 ACT 400 BUF 0)              
Step #2700.00 (0ms ?*RT. ?UPS, TraCI: 92ms, vehicles TOT 507 ACT 400 BUF 0)               
Step #2800.00 (0ms ?*RT. ?UPS, TraCI: 109ms, vehicles TOT 507 ACT 400 BUF 0)              
Step #2900.00 (0ms ?*RT. ?UPS, TraCI: 132ms, vehicles TOT 507 ACT 400 BUF 0)              
Step #3000.00 (0ms ?*RT. ?UPS, TraCI: 106ms, vehicles TOT 507 ACT 400 BUF 0)              
 Retrying in 1 seconds
出現数: {'A1': 363, 'A2': 37}
割合:
  Total: 400
  A1: 363 (90.75%)
  A2: 37 (9.25%)
  B1: 0 (0.00%)
  B2: 0 (0.00%)
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_132 sumo_vehicle_id=init_ShelterA_1_132 time=720.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_126:success:0',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.516386 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_133 sumo_vehicle_id=init_ShelterA_1_133 time=720.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_126:success:0',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.756497 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_134 sumo_vehicle_id=init_ShelterA_1_134 time=720.0 rc_change_count=0 uturn_change_count=2 new_event_ids=('init_ShelterA_1_126:success:0', 'init_ShelterA_1_129:success:1') new_event_count=2 effective_observation_count=2.000 p_follow=0.100 effective_probability=0.190000 random_value=0.055741 should_follow=True
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_135 sumo_vehicle_id=init_ShelterA_1_135 time=730.0 rc_change_count=0 uturn_change_count=2 new_event_ids=('init_ShelterA_1_126:success:0', 'init_ShelterA_1_129:success:1') new_event_count=2 effective_observation_count=2.000 p_follow=0.100 effective_probability=0.190000 random_value=0.599504 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_139 sumo_vehicle_id=init_ShelterA_1_139 time=740.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_134:success:2',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.490756 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_140 sumo_vehicle_id=init_ShelterA_1_140 time=740.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_134:success:2',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.852208 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_141 sumo_vehicle_id=init_ShelterA_1_141 time=740.0 rc_change_count=0 uturn_change_count=2 new_event_ids=('init_ShelterA_1_126:success:0', 'init_ShelterA_1_134:success:2') new_event_count=2 effective_observation_count=2.000 p_follow=0.100 effective_probability=0.190000 random_value=0.407983 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_142 sumo_vehicle_id=init_ShelterA_1_142 time=740.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_126:success:0',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.704016 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_143 sumo_vehicle_id=init_ShelterA_1_143 time=740.0 rc_change_count=0 uturn_change_count=2 new_event_ids=('init_ShelterA_1_126:success:0', 'init_ShelterA_1_129:success:1') new_event_count=2 effective_observation_count=2.000 p_follow=0.100 effective_probability=0.190000 random_value=0.342815 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_144 sumo_vehicle_id=init_ShelterA_1_144 time=750.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_134:success:2',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.542116 should_follow=False
[MAJORITY_BIAS_EVALUATION] logical_vehicle_id=init_ShelterA_1_145 sumo_vehicle_id=init_ShelterA_1_145 time=750.0 rc_change_count=0 uturn_change_count=1 new_event_ids=('init_ShelterA_1_134:success:2',) new_event_count=1 effective_observation_count=1.000 p_follow=0.100 effective_probability=0.100000 random_value=0.705525 should_follow=False
