case_id,alpha,beta,gamma,delta,normalcy,majority,threshold,final_rate,uplift,score
0,0.2,0.0,0.5,1.0,"(2000, 4000)","(1000, 3000)","(2000, 4000)",1.0,0.0,0.8500000000000001
1,0.2,0.0,0.5,1.0,"(2000, 4000)","(1000, 3000)","(4000, 6000)",0.9933333333333333,0.0,0.8433333333333333
2,0.2,0.0,0.5,1.0,"(2000, 4000)","(1000, 3000)","(6000, 8000)",0.5,0.0,0.35
3,0.2,0.0,0.5,1.0,"(2000, 4000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
4,0.2,0.0,0.5,1.0,"(2000, 4000)","(3000, 5000)","(4000, 6000)",1.0,0.0,0.8500000000000001
5,0.2,0.0,0.5,1.0,"(2000, 4000)","(3000, 5000)","(6000, 8000)",0.9933333333333333,0.0,0.8433333333333333
6,0.2,0.0,0.5,1.0,"(2000, 4000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
7,0.2,0.0,0.5,1.0,"(2000, 4000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
8,0.2,0.0,0.5,1.0,"(2000, 4000)","(5000, 7000)","(6000, 8000)",1.0,0.0,0.8500000000000001
9,0.2,0.0,0.5,1.0,"(4000, 6000)","(1000, 3000)","(2000, 4000)",1.0,0.0,0.8500000000000001
10,0.2,0.0,0.5,1.0,"(4000, 6000)","(1000, 3000)","(4000, 6000)",0.8533333333333334,0.0,0.7033333333333334
11,0.2,0.0,0.5,1.0,"(4000, 6000)","(1000, 3000)","(6000, 8000)",0.11,0.0,0.14
12,0.2,0.0,0.5,1.0,"(4000, 6000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
13,0.2,0.0,0.5,1.0,"(4000, 6000)","(3000, 5000)","(4000, 6000)",1.0,0.0,0.8500000000000001
14,0.2,0.0,0.5,1.0,"(4000, 6000)","(3000, 5000)","(6000, 8000)",0.8733333333333333,0.0,0.7233333333333334
15,0.2,0.0,0.5,1.0,"(4000, 6000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
16,0.2,0.0,0.5,1.0,"(4000, 6000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
17,0.2,0.0,0.5,1.0,"(4000, 6000)","(5000, 7000)","(6000, 8000)",1.0,0.0,0.8500000000000001
18,0.2,0.0,0.5,1.0,"(6000, 8000)","(1000, 3000)","(2000, 4000)",0.9966666666666667,0.0,0.8466666666666667
19,0.2,0.0,0.5,1.0,"(6000, 8000)","(1000, 3000)","(4000, 6000)",0.49666666666666665,0.0,0.3466666666666666
20,0.2,0.0,0.5,1.0,"(6000, 8000)","(1000, 3000)","(6000, 8000)",0.006666666666666667,0.0,0.24333333333333335
21,0.2,0.0,0.5,1.0,"(6000, 8000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
22,0.2,0.0,0.5,1.0,"(6000, 8000)","(3000, 5000)","(4000, 6000)",0.9833333333333333,0.0,0.8333333333333333
23,0.2,0.0,0.5,1.0,"(6000, 8000)","(3000, 5000)","(6000, 8000)",0.5133333333333333,0.0,0.3633333333333333
24,0.2,0.0,0.5,1.0,"(6000, 8000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
25,0.2,0.0,0.5,1.0,"(6000, 8000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
26,0.2,0.0,0.5,1.0,"(6000, 8000)","(5000, 7000)","(6000, 8000)",0.9933333333333333,0.0,0.8433333333333333
27,0.2,0.0,0.5,2.0,"(2000, 4000)","(1000, 3000)","(2000, 4000)",1.0,0.0,0.8500000000000001
28,0.2,0.0,0.5,2.0,"(2000, 4000)","(1000, 3000)","(4000, 6000)",1.0,0.0,0.8500000000000001
29,0.2,0.0,0.5,2.0,"(2000, 4000)","(1000, 3000)","(6000, 8000)",0.9133333333333333,0.0,0.7633333333333334
30,0.2,0.0,0.5,2.0,"(2000, 4000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
31,0.2,0.0,0.5,2.0,"(2000, 4000)","(3000, 5000)","(4000, 6000)",1.0,0.0,0.8500000000000001
32,0.2,0.0,0.5,2.0,"(2000, 4000)","(3000, 5000)","(6000, 8000)",1.0,0.0,0.8500000000000001
33,0.2,0.0,0.5,2.0,"(2000, 4000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
34,0.2,0.0,0.5,2.0,"(2000, 4000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
35,0.2,0.0,0.5,2.0,"(2000, 4000)","(5000, 7000)","(6000, 8000)",1.0,0.0,0.8500000000000001
36,0.2,0.0,0.5,2.0,"(4000, 6000)","(1000, 3000)","(2000, 4000)",1.0,0.0,0.8500000000000001
37,0.2,0.0,0.5,2.0,"(4000, 6000)","(1000, 3000)","(4000, 6000)",1.0,0.0,0.8500000000000001
38,0.2,0.0,0.5,2.0,"(4000, 6000)","(1000, 3000)","(6000, 8000)",0.7233333333333334,0.0,0.5733333333333335
39,0.2,0.0,0.5,2.0,"(4000, 6000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
40,0.2,0.0,0.5,2.0,"(4000, 6000)","(3000, 5000)","(4000, 6000)",1.0,0.0,0.8500000000000001
41,0.2,0.0,0.5,2.0,"(4000, 6000)","(3000, 5000)","(6000, 8000)",1.0,0.0,0.8500000000000001
42,0.2,0.0,0.5,2.0,"(4000, 6000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
43,0.2,0.0,0.5,2.0,"(4000, 6000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
44,0.2,0.0,0.5,2.0,"(4000, 6000)","(5000, 7000)","(6000, 8000)",1.0,0.0,0.8500000000000001
45,0.2,0.0,0.5,2.0,"(6000, 8000)","(1000, 3000)","(2000, 4000)",1.0,0.0,0.8500000000000001
46,0.2,0.0,0.5,2.0,"(6000, 8000)","(1000, 3000)","(4000, 6000)",0.9333333333333333,0.0,0.7833333333333334
47,0.2,0.0,0.5,2.0,"(6000, 8000)","(1000, 3000)","(6000, 8000)",0.49333333333333335,0.0,0.3433333333333333
48,0.2,0.0,0.5,2.0,"(6000, 8000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
49,0.2,0.0,0.5,2.0,"(6000, 8000)","(3000, 5000)","(4000, 6000)",1.0,0.0,0.8500000000000001
50,0.2,0.0,0.5,2.0,"(6000, 8000)","(3000, 5000)","(6000, 8000)",1.0,0.0,0.8500000000000001
51,0.2,0.0,0.5,2.0,"(6000, 8000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
52,0.2,0.0,0.5,2.0,"(6000, 8000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
53,0.2,0.0,0.5,2.0,"(6000, 8000)","(5000, 7000)","(6000, 8000)",1.0,0.0,0.8500000000000001
54,0.2,0.0,0.5,3.0,"(2000, 4000)","(1000, 3000)","(2000, 4000)",1.0,0.0,0.8500000000000001
55,0.2,0.0,0.5,3.0,"(2000, 4000)","(1000, 3000)","(4000, 6000)",1.0,0.0,0.8500000000000001
56,0.2,0.0,0.5,3.0,"(2000, 4000)","(1000, 3000)","(6000, 8000)",1.0,0.0,0.8500000000000001
57,0.2,0.0,0.5,3.0,"(2000, 4000)","(3000, 5000)","(2000, 4000)",1.0,0.0,0.8500000000000001
58,0.2,0.0,0.5,3.0,"(2000, 4000)","(3000, 5000)","(4000, 6000)",1.0,0.0,0.8500000000000001
59,0.2,0.0,0.5,3.0,"(2000, 4000)","(3000, 5000)","(6000, 8000)",1.0,0.0,0.8500000000000001
60,0.2,0.0,0.5,3.0,"(2000, 4000)","(5000, 7000)","(2000, 4000)",1.0,0.0,0.8500000000000001
61,0.2,0.0,0.5,3.0,"(2000, 4000)","(5000, 7000)","(4000, 6000)",1.0,0.0,0.8500000000000001
