job_name,scenario_id,early_rate,v2v_rate,run_id,status,exit_code,hostname,start_time,end_time,config,run_dir,tripinfo_exists,tripinfo_parse_error,vehicle_count,completion_time,arrival_time_mean,arrival_time_median,arrival_time_p95,duration_mean,duration_median,waiting_time_mean,time_loss_mean,route_length_mean
va_s1_e1.0_v1.0_r1,1,1.0,1.0,1,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:41+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r1,True,,127,1710.0,1133.622047,1150.0,1660.0,49.165354,23.0,14.377953,28.913071,277.70748
va_s1_e1.0_v1.0_r2,1,1.0,1.0,2,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:40+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r2,True,,161,1880.0,1127.639752,1130.0,1610.0,52.409938,27.0,16.347826,30.483416,297.785776
va_s1_e1.0_v1.0_r3,1,1.0,1.0,3,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:25+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r3,True,,136,1710.0,1128.676471,1150.0,1580.0,49.022059,24.0,15.602941,28.108897,287.21375
va_s1_e1.0_v1.0_r4,1,1.0,1.0,4,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:45+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r4,True,,132,1870.0,1164.318182,1230.0,1670.0,62.659091,30.5,19.787879,37.036667,351.314924
va_s1_e1.0_v1.0_r5,1,1.0,1.0,5,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:17+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r5,True,,110,1800.0,1232.727273,1260.0,1665.5,63.427273,25.5,21.209091,41.357636,309.236818
va_s1_e1.0_v1.0_r6,1,1.0,1.0,6,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:12+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r6,True,,120,1790.0,1236.583333,1230.0,1710.0,60.825,32.5,20.45,37.630167,313.88675
va_s1_e1.0_v1.0_r7,1,1.0,1.0,7,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:30+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r7,True,,117,1800.0,1243.931624,1220.0,1670.0,64.888889,33.0,21.119658,39.90547,328.487863
va_s1_e1.0_v1.0_r8,1,1.0,1.0,8,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:05+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r8,True,,159,1790.0,1162.955975,1150.0,1613.0,57.194969,22.0,17.867925,34.547547,316.402642
va_s1_e1.0_v1.0_r9,1,1.0,1.0,9,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:06+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r9,True,,132,1790.0,1213.409091,1240.0,1633.5,50.136364,25.5,16.439394,31.452045,248.452121
va_s1_e1.0_v1.0_r10,1,1.0,1.0,10,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:15+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r10,True,,128,1790.0,1176.015625,1210.0,1666.5,60.242188,30.0,18.554688,36.87625,328.333516
